bll; seq; 0073 0304; LATIN SMALL LETTER S WITH COMBINING MACRON; s̄; 0053; S; icao-ext; mapped
bll; seq; 0073 031B 0304; LATIN SMALL LETTER S WITH COMBINING HORN AND COMBINING MACRON; s̛̄; 0053; S; icao-ext; mapped
bll; seq; 0073 0331; LATIN SMALL LETTER S WITH COMBINING MACRON BELOW; s̱; 0053; S; icao-ext; mapped
bll; char; 0074; LATIN SMALL LETTER T; t; 0054; T; icao-ext; mapped
bll; seq; 0074 0300; LATIN SMALL LETTER T WITH COMBINING GRAVE ACCENT; t̀; 0054; T; icao-ext; mapped
bll; seq; 0074 0304; LATIN SMALL LETTER T WITH COMBINING MACRON; t̄; 0054; T; icao-ext; mapped
bll; seq; 0074 0315; LATIN SMALL LETTER T WITH COMBINING COMMA ABOVE RIGHT; t̕; 0054; T; icao-ext; mapped
bll; seq; 0074 031B; LATIN SMALL LETTER T WITH COMBINING HORN; t̛; 0054; T; icao-ext; mapped
bll; char; 0075; LATIN SMALL LETTER U; u; 0055; U; icao-ext; mapped
bll; seq; 0075 0307; LATIN SMALL LETTER U WITH COMBINING DOT ABOVE; u̇; 0055; U; icao-ext; mapped
bll; char; 0076; LATIN SMALL LETTER V; v; 0056; V; icao-ext; mapped
bll; char; 0077; LATIN SMALL LETTER W; w; 0057; W; icao-ext; mapped
bll; char; 0078; LATIN SMALL LETTER X; x; 0058; X; icao-ext; mapped
bll; char; 0079; LATIN SMALL LETTER Y; y; 0059; Y; icao-ext; mapped
bll; char; 007A; LATIN SMALL LETTER Z; z; 005A; Z; icao-ext; mapped
bll; seq; 007A 0300; LATIN SMALL LETTER Z WITH COMBINING GRAVE ACCENT; z̀; 005A; Z; icao-ext; mapped
bll; seq; 007A 0304; LATIN SMALL LETTER Z WITH COMBINING MACRON; z̄; 005A; Z; icao-ext; mapped
bll; seq; 007A 0306; LATIN SMALL LETTER Z WITH COMBINING BREVE; z̆; 005A; Z; icao-ext; mapped
bll; seq; 007A 0308; LATIN SMALL LETTER Z WITH COMBINING DIAERESIS; z̈; 005A; Z; icao-ext; mapped
bll; seq; 007A 0327; LATIN SMALL LETTER Z WITH COMBINING CEDILLA; z̧; 005A; Z; icao-ext; mapped
bll; char; 00C0; LATIN CAPITAL LETTER A WITH GRAVE; À; 0041; A; icao; mapped
bll; char; 00C1; LATIN CAPITAL LETTER A WITH ACUTE; Á; 0041; A; icao; mapped
bll; char; 00C2; LATIN CAPITAL LETTER A WITH CIRCUMFLEX; Â; 0041; A; icao; mapped
bll; char; 00C3; LATIN CAPITAL LETTER A WITH TILDE; Ã; 0041; A; icao; mapped
bll; char; 00C4; LATIN CAPITAL LETTER A WITH DIAERESIS; Ä; 0041 0045; AE; icao; mapped
bll; char; 00C5; LATIN CAPITAL LETTER A WITH RING ABOVE; Å; 0041 0041; AA; icao; mapped
bll; char; 00C6; LATIN CAPITAL LETTER AE; Æ; 0041 0045; AE; icao; mapped
bll; char; 00C7; LATIN CAPITAL LETTER C WITH CEDILLA; Ç; 0043; C; icao; mapped
bll; seq; 00C7 0306; LATIN CAPITAL LETTER C WITH CEDILLA WITH COMBINING BREVE; Ç̆; 0043; C; icao-ext; mapped
bll; char; 00C8; LATIN CAPITAL LETTER E WITH GRAVE; È; 0045; E; icao; mapped
bll; char; 00C9; LATIN CAPITAL LETTER E WITH ACUTE; É; 0045; E; icao; mapped
bll; char; 00CA; LATIN CAPITAL LETTER E WITH CIRCUMFLEX; Ê; 0045; E; icao; mapped
bll; char; 00CB; LATIN CAPITAL LETTER E WITH DIAERESIS; Ë; 0045; E; icao; mapped
bll; char; 00CC; LATIN CAPITAL LETTER I WITH GRAVE; Ì; 0049; I; icao; mapped
bll; char; 00CD; LATIN CAPITAL LETTER I WITH ACUTE; Í; 0049; I; icao; mapped
bll; char; 00CE; LATIN CAPITAL LETTER I WITH CIRCUMFLEX; Î; 0049; I; icao; mapped
bll; char; 00CF; LATIN CAPITAL LETTER I WITH DIAERESIS; Ï; 0049; I; icao; mapped
bll; char; 00D0; LATIN CAPITAL LETTER ETH; Ð; 0044; D; icao-ext; mapped
bll; char; 00D1; LATIN CAPITAL LETTER N WITH TILDE; Ñ; 004E; N; icao; mapped
bll; char; 00D2; LATIN CAPITAL LETTER O WITH GRAVE; Ò; 004F; O; icao; mapped
bll; char; 00D3; LATIN CAPITAL LETTER O WITH ACUTE; Ó; 004F; O; icao; mapped
bll; char; 00D4; LATIN CAPITAL LETTER O WITH CIRCUMFLEX; Ô; 004F; O; icao; mapped
bll; char; 00D5; LATIN CAPITAL LETTER O WITH TILDE; Õ; 004F; O; icao; mapped
bll; char; 00D6; LATIN CAPITAL LETTER O WITH DIAERESIS; Ö; 004F 0045; OE; icao; mapped
bll; char; 00D8; LATIN CAPITAL LETTER O WITH STROKE; Ø; 004F 0045; OE; icao; mapped
bll; char; 00D9; LATIN CAPITAL LETTER U WITH GRAVE; Ù; 0055; U; icao; mapped
bll; char; 00DA; LATIN CAPITAL LETTER U WITH ACUTE; Ú; 0055; U; icao; mapped
bll; char; 00DB; LATIN CAPITAL LETTER U WITH CIRCUMFLEX; Û; 0055; U; icao; mapped
bll; seq; 00DB 0304; LATIN CAPITAL LETTER U WITH CIRCUMFLEX WITH COMBINING MACRON; Û̄; 0055; U; icao-ext; mapped
bll; char; 00DC; LATIN CAPITAL LETTER U WITH DIAERESIS; Ü; 0055 0045; UE; icao; mapped
bll; char; 00DD; LATIN CAPITAL LETTER Y WITH ACUTE; Ý; 0059; Y; icao; mapped
bll; char; 00DE; LATIN CAPITAL LETTER THORN; Þ; 0054 0048; TH; icao-ext; mapped
bll; char; 00DF; LATIN SMALL LETTER SHARP S; ß; 0053 0053; SS; icao; mapped
bll; char; 00E0; LATIN SMALL LETTER A WITH GRAVE; à; 0041; A; icao-ext; mapped
bll; char; 00E1; LATIN SMALL LETTER A WITH ACUTE; á; 0041; A; icao-ext; mapped
bll; char; 00E2; LATIN SMALL LETTER A WITH CIRCUMFLEX; â; 0041; A; icao-ext; mapped
bll; char; 00E3; LATIN SMALL LETTER A WITH TILDE; ã; 0041; A; icao-ext; mapped
bll; char; 00E4; LATIN SMALL LETTER A WITH DIAERESIS; ä; 0041 0045; AE; icao-ext; mapped
bll; char; 00E5; LATIN SMALL LETTER A WITH RING ABOVE; å; 0041 0041; AA; icao-ext; mapped
bll; char; 00E6; LATIN SMALL LETTER AE; æ; 0041 0045; AE; icao-ext; mapped
bll; char; 00E7; LATIN SMALL LETTER C WITH CEDILLA; ç; 0043; C; icao-ext; mapped
bll; seq; 00E7 0306; LATIN SMALL LETTER C WITH CEDILLA WITH COMBINING BREVE; ç̆; 0043; C; icao-ext; mapped
bll; char; 00E8; LATIN SMALL LETTER E WITH GRAVE; è; 0045; E; icao-ext; mapped
bll; char; 00E9; LATIN SMALL LETTER E WITH ACUTE; é; 0045; E; icao-ext; mapped
bll; char; 00EA; LATIN SMALL LETTER E WITH CIRCUMFLEX; ê; 0045; E; icao-ext; mapped
bll; char; 00EB; LATIN SMALL LETTER E WITH DIAERESIS; ë; 0045; E; icao-ext; mapped
bll; char; 00EC; LATIN SMALL LETTER I WITH GRAVE; ì; 0049; I; icao-ext; mapped
bll; char; 00ED; LATIN SMALL LETTER I WITH ACUTE; í; 0049; I; icao-ext; mapped
bll; char; 00EE; LATIN SMALL LETTER I WITH CIRCUMFLEX; î; 0049; I; icao-ext; mapped
bll; char; 00EF; LATIN SMALL LETTER I WITH DIAERESIS; ï; 0049; I; icao-ext; mapped
bll; char; 00F0; LATIN SMALL LETTER ETH; ð; 0044; D; icao-ext; mapped
bll; char; 00F1; LATIN SMALL LETTER N WITH TILDE; ñ; 004E; N; icao-ext; mapped
bll; char; 00F2; LATIN SMALL LETTER O WITH GRAVE; ò; 004F; O; icao-ext; mapped
bll; char; 00F3; LATIN SMALL LETTER O WITH ACUTE; ó; 004F; O; icao-ext; mapped
bll; char; 00F4; LATIN SMALL LETTER O WITH CIRCUMFLEX; ô; 004F; O; icao-ext; mapped
bll; char; 00F5; LATIN SMALL LETTER O WITH TILDE; õ; 004F; O; icao-ext; mapped
bll; char; 00F6; LATIN SMALL LETTER O WITH DIAERESIS; ö; 004F 0045; OE; icao-ext; mapped
bll; char; 00F8; LATIN SMALL LETTER O WITH STROKE; ø; 004F 0045; OE; icao-ext; mapped
bll; char; 00F9; LATIN SMALL LETTER U WITH GRAVE; ù; 0055; U; icao-ext; mapped
bll; char; 00FA; LATIN SMALL LETTER U WITH ACUTE; ú; 0055; U; icao-ext; mapped
bll; char; 00FB; LATIN SMALL LETTER U WITH CIRCUMFLEX; û; 0055; U; icao-ext; mapped
bll; seq; 00FB 0304; LATIN SMALL LETTER U WITH CIRCUMFLEX WITH COMBINING MACRON; û̄; 0055; U; icao-ext; mapped
bll; char; 00FC; LATIN SMALL LETTER U WITH DIAERESIS; ü; 0055 0045; UE; icao-ext; mapped
bll; char; 00FD; LATIN SMALL LETTER Y WITH ACUTE; ý; 0059; Y; icao-ext; mapped
bll; char; 00FE; LATIN SMALL LETTER THORN; þ; 0054 0048; TH; icao; mapped
bll; char; 00FF; LATIN SMALL LETTER Y WITH DIAERESIS; ÿ; 0059; Y; icao-ext; mapped
bll; seq; 00FF 0301; LATIN SMALL LETTER Y WITH DIAERESIS WITH COMBINING ACUTE ACCENT; ÿ́; 0059; Y; icao-ext; mapped
bll; char; 0100; LATIN CAPITAL LETTER A WITH MACRON; Ā; 0041; A; icao; mapped
bll; char; 0101; LATIN SMALL LETTER A WITH MACRON; ā; 0041; A; icao-ext; mapped
bll; char; 0102; LATIN CAPITAL LETTER A WITH BREVE; Ă; 0041; A; icao; mapped
bll; char; 0103; LATIN SMALL LETTER A WITH BREVE; ă; 0041; A; icao-ext; mapped
bll; char; 0104; LATIN CAPITAL LETTER A WITH OGONEK; Ą; 0041; A; icao; mapped
bll; char; 0105; LATIN SMALL LETTER A WITH OGONEK; ą; 0041; A; icao-ext; mapped
bll; char; 0106; LATIN CAPITAL LETTER C WITH ACUTE; Ć; 0043; C; icao; mapped
bll; char; 0107; LATIN SMALL LETTER C WITH ACUTE; ć; 0043; C; icao-ext; mapped
